grup;situacio;actes autor;actes perjudicat;actes resta;extra
Agents;Atemptat;N01,A108;N02;;"S'ha de fer document per la mutua laboral
S'han de tipificar també les lesions
S'ha de trucar a Molins advocats

Agreujants:
- Fer ús armes/objectes perillosos
- Potencial perill per la vida"
Agents;Resistència;N01,A108;N02;;Ha d'impedir les funcions dels agents.
Agents;Desobediéncia greu;N01,A108;N02;;Ha d'impedir les funcions dels agents.
