grup;situacio;actes autor;actes perjudicat;actes resta;extra
ViGe;Maltractament d'obra;N01,A108;N02,N101,A18;A106,A17,G30;"Adjuntar còpia d'A106PL a les diligències i deixar l'original a novetats.

A108PL per intervenir objectes que s'hagin fet servir a l'agresió/intimidació.

Agreujants:
- Fer servir armes
- Al domicili familiar
- En presència de menors"
ViGe;Amenaces;N01,A108;N02,N101,A18;A106,A17,G30;"Art. 171.4 (si són amenaces greus: Art. 169)

Adjuntar còpia d'A106PL a les diligències i deixar l'original a novetats.

A108PL per intervenir objectes que s'hagin fet servir a l'agresió/intimidació.

Agreujants:
- Fer servir armes
- Al domicili familiar
- En presència de menors"
ViGe;Lesions;N01,A108;N02,N101,A18;A106,A17,G30;"Adjuntar còpia d'A106PL a les diligències i deixar l'original a novetats.

A108PL per intervenir objectes que s'hagin fet servir a l'agresió/intimidació.

Agreujants:
- Fer servir armes
- Al domicili familiar
- En presència de menors"
ViGe;Coaccions lleus;N01,A108;N02,N101,A18;A106,A17,G30;"Art. 172.2 (si són coaccions greus: Art. 172.1)

Adjuntar còpia d'A106PL a les diligències i deixar l'original a novetats.

A108PL per intervenir objectes que s'hagin fet servir a l'agresió/intimidació.

Agreujants:
- Fer servir armes
- Al domicili familiar
- En presència de menors"
ViGe;Injuries o vexacions injustes lleus;N09;N02,N101,A18;A106,A17,G30;"Art. 173.4 (si són injúries greus: Art. 153)

Requereix denúncia de la víctima: A18PL

Adjuntar còpia d'A106PL a les diligències i deixar l'original a novetats."
