situacio;actes autor;actes perjudicat;actes resta;extra
Alcoholèmia admin;T101,A13;;;"Sancions administratives:
> 0,0 mg/l i < 0,25 mg/l (0,29 mg/l)
- Menor d'edat: 3393

> 0,25 mg/l (0,29 mg/l)
- Qualsevol conductor: 3283

> 0,50 mg/l (0,55 mg/l)
- Qualsevol conductor: 3289"
Negativa proves alcohol/drogues;A13;;;"S'han de fer les sancions administratives:

Alcohol: 3294

Drogues: 3301"
